,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
10,GETAFE,ALMERÍA,1-0,1-0,3.2,6.2,6.2,51,49,5.0,3.0,12.0,4.0,2.0,33.0,78.0,19.0,24.0,17.0,3.0,0.0,0.0,4.0,4.0,11.0,3.0,3.0,42.0,76.0,10.0,21.0,11.0,2.0,0.0,0.0,1,0,0,1,2014
11,VALENCIA,MÁLAGA,3-0,2-0,5.3,6.9,5.1,60,40,7.0,4.0,14.0,3.0,4.0,19.0,86.0,18.0,19.0,18.0,1.0,0.0,0.0,7.0,4.0,17.0,6.0,5.0,25.0,74.0,15.0,24.0,11.0,2.0,0.0,1.0,3,0,0,3,2014
12,ATHLETIC,LEVANTE,3-0,1-0,4.7,7.6,5.2,58,42,4.0,5.0,10.0,1.0,2.0,23.0,78.0,31.0,34.0,13.0,1.0,0.0,0.0,5.0,2.0,10.0,3.0,11.0,28.0,67.0,12.0,7.0,17.0,4.0,0.0,0.0,3,0,0,3,2014
13,CÓRDOBA,CELTA,1-1,0-0,4.2,7.3,5.8,41,59,3.0,1.0,6.0,2.0,1.0,17.0,73.0,19.0,13.0,14.0,1.0,0.0,0.0,3.0,4.0,10.0,3.0,6.0,31.0,81.0,13.0,12.0,17.0,4.0,0.0,0.0,1,1,1,1,2014
14,ATLETICO MADRID,EIBAR,2-1,2-1,5.4,6.8,5.6,43,57,7.0,6.0,14.0,1.0,5.0,22.0,73.0,27.0,25.0,12.0,3.0,0.0,0.0,3.0,2.0,8.0,3.0,5.0,32.0,79.0,19.0,16.0,18.0,0.0,0.0,0.0,2,1,1,2,2014
15,ESPANYOL,SEVILLA FC,1-2,0-1,5.7,5.7,7.5,46,54,2.0,2.0,4.0,0.0,3.0,23.0,71.0,23.0,19.0,20.0,4.0,0.0,0.0,4.0,6.0,13.0,3.0,7.0,23.0,77.0,23.0,22.0,24.0,2.0,0.0,0.0,1,2,2,1,2014
16,VILLARREAL,BARCELONA,0-1,0-0,5.2,5.5,7.7,28,72,7.0,0.0,9.0,2.0,3.0,12.0,69.0,7.0,28.0,12.0,0.0,0.0,0.0,8.0,8.0,20.0,4.0,10.0,22.0,89.0,11.0,6.0,9.0,2.0,0.0,0.0,0,1,1,0,2014
17,DEPORTIVO,RAYO VALLECANO,2-2,1-1,7.0,6.5,5.8,49,51,4.0,5.0,10.0,1.0,2.0,28.0,72.0,12.0,18.0,16.0,4.0,0.0,0.0,7.0,2.0,12.0,3.0,4.0,25.0,74.0,20.0,16.0,18.0,6.0,0.0,0.0,2,2,2,2,2014
18,REAL SOCIEDAD,REAL MADRID,4-2,2-2,9.0,7.6,5.4,45,55,3.0,5.0,13.0,5.0,8.0,22.0,78.0,13.0,22.0,18.0,1.0,0.0,0.0,9.0,5.0,19.0,5.0,6.0,27.0,83.0,17.0,16.0,12.0,2.0,0.0,0.0,4,2,2,4,2014
19,ELCHE,GRANADA,1-1,0-0,5.0,6.3,5.9,59,41,9.0,3.0,15.0,3.0,8.0,26.0,80.0,16.0,9.0,12.0,4.0,0.0,0.0,1.0,4.0,5.0,0.0,4.0,19.0,76.0,19.0,20.0,17.0,4.0,0.0,0.0,1,1,1,1,2014
20,ALMERÍA,CÓRDOBA,1-1,1-1,4.5,6.3,6.9,52,48,6.0,2.0,12.0,4.0,8.0,25.0,75.0,21.0,16.0,14.0,4.0,0.0,0.0,5.0,4.0,11.0,2.0,2.0,28.0,76.0,24.0,39.0,22.0,4.0,0.0,0.0,1,1,1,1,2014
21,BARCELONA,ATHLETIC,2-0,0-0,4.3,7.7,5.7,61,39,5.0,8.0,14.0,1.0,5.0,20.0,84.0,12.0,11.0,12.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,22.0,74.0,15.0,19.0,11.0,1.0,0.0,0.0,2,0,0,2,2014
22,MÁLAGA,LEVANTE,0-0,0-0,3.1,7.4,5.0,59,41,9.0,7.0,18.0,2.0,20.0,22.0,76.0,29.0,23.0,10.0,1.0,0.0,0.0,5.0,0.0,10.0,5.0,1.0,24.0,62.0,29.0,39.0,15.0,2.0,0.0,0.0,0,0,0,0,2014
23,REAL MADRID,ATLETICO MADRID,1-2,1-1,5.5,5.8,6.1,63,37,13.0,4.0,21.0,4.0,4.0,32.0,83.0,26.0,10.0,12.0,4.0,0.0,0.0,4.0,2.0,9.0,3.0,4.0,15.0,66.0,23.0,24.0,12.0,7.0,0.0,0.0,1,2,2,1,2014
24,CELTA,REAL SOCIEDAD,2-2,1-0,8.4,6.6,6.2,53,47,5.0,6.0,13.0,2.0,5.0,20.0,78.0,22.0,25.0,13.0,1.0,0.0,0.0,8.0,5.0,19.0,6.0,8.0,23.0,77.0,26.0,28.0,15.0,5.0,0.0,0.0,2,2,2,2,2014
25,RAYO VALLECANO,ELCHE,2-3,1-1,7.4,5.7,6.6,70,30,9.0,4.0,14.0,1.0,6.0,29.0,80.0,22.0,9.0,11.0,2.0,0.0,0.0,4.0,5.0,11.0,2.0,4.0,20.0,57.0,23.0,29.0,23.0,2.0,0.0,0.0,2,3,3,2,2014
26,VALENCIA,ESPANYOL,3-1,1-0,6.3,7.3,5.8,55,45,0.0,6.0,11.0,5.0,7.0,19.0,85.0,10.0,31.0,15.0,1.0,0.0,0.0,1.0,3.0,8.0,4.0,8.0,36.0,76.0,10.0,15.0,13.0,1.0,0.0,0.0,3,1,1,3,2014
27,SEVILLA FC,GETAFE,2-0,1-0,4.3,7.4,5.1,58,42,3.0,4.0,12.0,5.0,8.0,16.0,78.0,22.0,16.0,10.0,2.0,0.0,0.0,3.0,1.0,7.0,3.0,5.0,20.0,70.0,17.0,26.0,25.0,6.0,0.0,0.0,2,0,0,2,2014
28,GRANADA,VILLARREAL,0-0,0-0,2.6,6.6,6.2,40,60,5.0,3.0,9.0,1.0,9.0,30.0,72.0,16.0,20.0,12.0,3.0,0.0,0.0,6.0,3.0,14.0,5.0,5.0,34.0,81.0,17.0,17.0,13.0,2.0,0.0,0.0,0,0,0,0,2014
29,EIBAR,DEPORTIVO,0-1,0-1,2.8,5.4,7.2,58,42,7.0,2.0,14.0,5.0,4.0,29.0,76.0,21.0,21.0,11.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,8.0,25.0,66.0,25.0,35.0,23.0,6.0,0.0,0.0,0,1,1,0,2014
30,ELCHE,EIBAR,0-2,0-2,4.2,5.7,6.7,63,37,8.0,6.0,15.0,1.0,10.0,33.0,80.0,14.0,15.0,9.0,2.0,0.0,0.0,2.0,4.0,8.0,2.0,7.0,25.0,66.0,21.0,37.0,10.0,1.0,0.0,0.0,0,2,2,0,2014
31,DEPORTIVO,REAL MADRID,2-8,0-3,8.9,4.0,8.7,40,60,5.0,5.0,14.0,4.0,2.0,10.0,88.0,2.0,10.0,8.0,1.0,0.0,0.0,2.0,13.0,19.0,4.0,3.0,18.0,92.0,6.0,11.0,9.0,1.0,0.0,0.0,2,8,8,2,2014
32,ATHLETIC,GRANADA,0-1,0-1,3.1,6.5,6.4,66,34,4.0,5.0,13.0,4.0,7.0,29.0,83.0,20.0,19.0,15.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,5.0,26.0,63.0,19.0,28.0,20.0,4.0,0.0,0.0,0,1,1,0,2014
33,ATLETICO MADRID,CELTA,2-2,2-1,7.5,6.6,6.1,49,51,8.0,8.0,18.0,2.0,6.0,23.0,76.0,33.0,15.0,9.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,25.0,78.0,16.0,36.0,17.0,3.0,0.0,0.0,2,2,2,2,2014
34,ESPANYOL,MÁLAGA,2-2,1-0,8.4,6.4,6.5,36,64,2.0,8.0,13.0,3.0,7.0,27.0,64.0,12.0,15.0,14.0,3.0,0.0,0.0,6.0,3.0,9.0,0.0,2.0,22.0,78.0,19.0,14.0,16.0,5.0,0.0,0.0,2,2,2,2,2014
35,REAL SOCIEDAD,ALMERÍA,1-2,0-1,8.3,5.2,6.5,57,43,10.0,6.0,22.0,6.0,13.0,22.0,80.0,12.0,21.0,19.0,1.0,0.0,0.0,6.0,5.0,13.0,2.0,7.0,8.0,72.0,25.0,31.0,17.0,7.0,1.0,0.0,1,2,2,1,2014
36,VILLARREAL,RAYO VALLECANO,4-2,1-2,8.5,7.7,4.8,44,56,7.0,9.0,19.0,3.0,11.0,18.0,75.0,20.0,27.0,11.0,2.0,0.0,0.0,4.0,3.0,10.0,3.0,5.0,28.0,80.0,16.0,17.0,18.0,2.0,0.0,0.0,4,2,2,4,2014
37,CÓRDOBA,SEVILLA FC,1-3,0-1,6.2,4.5,7.0,61,39,5.0,3.0,9.0,1.0,6.0,20.0,82.0,18.0,13.0,11.0,6.0,0.0,0.0,4.0,8.0,15.0,3.0,4.0,17.0,70.0,17.0,12.0,24.0,2.0,0.0,0.0,1,3,3,1,2014
38,LEVANTE,BARCELONA,0-5,0-2,5.9,4.0,8.7,25,75,3.0,2.0,9.0,4.0,3.0,17.0,70.0,6.0,28.0,13.0,1.0,0.0,1.0,7.0,8.0,17.0,2.0,6.0,15.0,92.0,10.0,11.0,11.0,2.0,0.0,0.0,0,5,5,0,2014
39,GETAFE,VALENCIA,0-3,0-2,5.1,5.0,7.3,57,43,4.0,5.0,12.0,3.0,6.0,13.0,85.0,7.0,10.0,25.0,6.0,0.0,0.0,1.0,3.0,7.0,3.0,1.0,20.0,79.0,16.0,15.0,17.0,2.0,1.0,0.0,0,3,3,0,2014
40,REAL MADRID,ELCHE,5-1,3-1,7.5,8.0,3.8,64,36,8.0,12.0,23.0,3.0,8.0,18.0,91.0,7.0,5.0,15.0,2.0,0.0,0.0,5.0,3.0,10.0,2.0,2.0,10.0,80.0,10.0,19.0,15.0,1.0,0.0,0.0,5,1,1,5,2014
41,CELTA,DEPORTIVO,2-1,1-0,5.1,6.9,5.5,53,47,5.0,4.0,11.0,2.0,13.0,21.0,71.0,20.0,15.0,15.0,3.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,39.0,71.0,15.0,26.0,15.0,3.0,0.0,0.0,2,1,1,2,2014
42,ALMERÍA,ATLETICO MADRID,0-1,0-0,3.7,4.9,7.0,39,61,4.0,1.0,6.0,1.0,2.0,17.0,68.0,20.0,17.0,14.0,3.0,0.0,0.0,8.0,9.0,19.0,2.0,10.0,21.0,81.0,28.0,14.0,16.0,6.0,0.0,0.0,0,1,1,0,2014
43,EIBAR,VILLARREAL,1-1,1-0,4.5,6.0,6.5,35,65,2.0,3.0,7.0,2.0,2.0,24.0,60.0,19.0,37.0,14.0,4.0,0.0,0.0,8.0,4.0,15.0,3.0,10.0,34.0,81.0,10.0,24.0,17.0,4.0,0.0,0.0,1,1,1,1,2014
44,RAYO VALLECANO,ATHLETIC,2-1,1-1,5.6,7.1,5.1,50,50,8.0,5.0,15.0,2.0,1.0,41.0,70.0,22.0,15.0,18.0,2.0,0.0,0.0,4.0,3.0,8.0,1.0,2.0,38.0,65.0,27.0,15.0,17.0,2.0,0.0,0.0,2,1,1,2,2014
45,MÁLAGA,BARCELONA,0-0,0-0,2.2,6.9,5.9,31,69,4.0,2.0,6.0,0.0,2.0,24.0,61.0,16.0,14.0,15.0,2.0,0.0,0.0,5.0,0.0,10.0,5.0,8.0,25.0,88.0,13.0,15.0,13.0,2.0,0.0,0.0,0,0,0,0,2014
46,SEVILLA FC,REAL SOCIEDAD,1-0,1-0,4.1,7.5,5.6,51,49,4.0,8.0,19.0,7.0,11.0,23.0,77.0,28.0,33.0,12.0,6.0,0.0,0.0,5.0,1.0,8.0,2.0,4.0,23.0,77.0,21.0,33.0,8.0,2.0,0.0,0.0,1,0,0,1,2014
47,GRANADA,LEVANTE,0-1,0-0,3.0,5.2,7.0,56,44,5.0,0.0,7.0,2.0,5.0,39.0,72.0,28.0,18.0,14.0,2.0,0.0,0.0,5.0,4.0,10.0,1.0,4.0,24.0,63.0,22.0,19.0,14.0,6.0,0.0,0.0,0,1,1,0,2014
48,ESPANYOL,GETAFE,2-0,0-0,3.8,7.3,6.1,40,60,3.0,3.0,8.0,2.0,6.0,29.0,65.0,27.0,25.0,17.0,1.0,0.0,0.0,2.0,2.0,7.0,3.0,4.0,27.0,80.0,17.0,23.0,17.0,2.0,0.0,0.0,2,0,0,2,2014
49,VALENCIA,CÓRDOBA,3-0,2-0,4.5,7.5,4.5,60,40,8.0,8.0,19.0,3.0,3.0,24.0,85.0,22.0,28.0,11.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,29.0,70.0,15.0,20.0,22.0,3.0,0.0,0.0,3,0,0,3,2014
50,ELCHE,CELTA,0-1,0-0,3.9,5.6,6.6,43,57,8.0,3.0,14.0,3.0,0.0,21.0,69.0,22.0,17.0,12.0,4.0,0.0,0.0,10.0,4.0,16.0,2.0,4.0,22.0,75.0,36.0,17.0,14.0,2.0,0.0,0.0,0,1,1,0,2014
51,VILLARREAL,REAL MADRID,0-2,0-2,4.6,6.0,7.0,50,50,8.0,5.0,19.0,6.0,7.0,20.0,82.0,11.0,16.0,7.0,0.0,0.0,0.0,4.0,3.0,11.0,4.0,6.0,15.0,86.0,13.0,28.0,10.0,1.0,0.0,0.0,0,2,2,0,2014
52,BARCELONA,GRANADA,6-0,3-0,7.0,10.0,3.7,69,31,5.0,12.0,19.0,2.0,8.0,20.0,89.0,6.0,9.0,11.0,1.0,0.0,0.0,6.0,1.0,9.0,2.0,1.0,23.0,79.0,7.0,26.0,11.0,3.0,0.0,0.0,6,0,0,6,2014
53,ATLETICO MADRID,SEVILLA FC,4-0,2-0,5.3,8.3,4.1,47,53,4.0,6.0,11.0,1.0,5.0,24.0,72.0,22.0,23.0,14.0,4.0,0.0,0.0,1.0,1.0,4.0,2.0,3.0,25.0,75.0,20.0,24.0,16.0,3.0,0.0,0.0,4,0,0,4,2014
54,LEVANTE,RAYO VALLECANO,0-2,0-0,4.4,4.1,8.0,43,57,6.0,0.0,7.0,1.0,5.0,24.0,67.0,21.0,20.0,21.0,4.0,0.0,0.0,6.0,5.0,13.0,2.0,7.0,20.0,78.0,15.0,28.0,16.0,3.0,0.0,0.0,0,2,2,0,2014
55,ATHLETIC,EIBAR,0-0,0-0,2.0,5.9,6.0,70,30,8.0,1.0,13.0,4.0,6.0,31.0,82.0,26.0,16.0,13.0,5.0,0.0,0.0,7.0,2.0,10.0,1.0,2.0,21.0,55.0,19.0,27.0,22.0,6.0,0.0,0.0,0,0,0,0,2014
56,GETAFE,MÁLAGA,1-0,1-0,2.8,6.9,5.2,43,57,3.0,3.0,9.0,3.0,3.0,22.0,67.0,11.0,25.0,8.0,0.0,0.0,0.0,6.0,0.0,10.0,4.0,4.0,38.0,74.0,16.0,24.0,16.0,4.0,1.0,0.0,1,0,0,1,2014
57,DEPORTIVO,ALMERÍA,0-1,0-0,3.9,5.6,7.2,56,44,4.0,1.0,8.0,3.0,6.0,18.0,80.0,13.0,28.0,14.0,2.0,0.0,0.0,6.0,6.0,15.0,3.0,5.0,19.0,73.0,14.0,22.0,18.0,4.0,0.0,0.0,0,1,1,0,2014
58,REAL SOCIEDAD,VALENCIA,1-1,1-1,4.4,6.6,6.2,55,45,6.0,5.0,18.0,7.0,11.0,38.0,78.0,24.0,19.0,13.0,3.0,0.0,0.0,1.0,2.0,7.0,4.0,4.0,20.0,72.0,15.0,35.0,17.0,5.0,0.0,0.0,1,1,1,1,2014
59,CÓRDOBA,ESPANYOL,0-0,0-0,2.1,7.2,4.8,60,40,5.0,4.0,10.0,1.0,3.0,28.0,71.0,31.0,21.0,13.0,2.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0,31.0,56.0,19.0,36.0,26.0,6.0,0.0,0.0,0,0,0,0,2014
60,GETAFE,CÓRDOBA,1-1,0-0,5.8,5.9,7.2,59,41,11.0,5.0,18.0,2.0,8.0,38.0,82.0,30.0,13.0,12.0,1.0,0.0,0.0,4.0,3.0,10.0,3.0,3.0,23.0,65.0,28.0,33.0,11.0,2.0,0.0,0.0,1,1,1,1,2014
61,VALENCIA,ATLETICO MADRID,3-1,3-1,6.4,7.1,5.0,41,59,2.0,3.0,6.0,1.0,1.0,19.0,71.0,24.0,39.0,23.0,4.0,0.0,0.0,10.0,5.0,19.0,4.0,6.0,23.0,79.0,19.0,5.0,14.0,1.0,1.0,0.0,3,1,1,3,2014
62,RAYO VALLECANO,BARCELONA,0-2,0-2,5.3,4.7,6.8,41,59,8.0,4.0,14.0,2.0,6.0,30.0,77.0,16.0,10.0,19.0,4.0,2.0,0.0,8.0,7.0,18.0,3.0,7.0,21.0,81.0,16.0,14.0,7.0,2.0,0.0,0.0,0,2,2,0,2014
63,EIBAR,LEVANTE,3-3,0-2,8.5,6.1,6.2,59,41,6.0,6.0,14.0,2.0,4.0,33.0,69.0,22.0,19.0,12.0,3.0,0.0,0.0,5.0,5.0,13.0,3.0,4.0,19.0,60.0,24.0,39.0,16.0,1.0,0.0,0.0,3,3,3,3,2014
64,MÁLAGA,GRANADA,2-1,0-1,6.2,6.9,5.1,55,45,8.0,3.0,17.0,6.0,3.0,25.0,80.0,13.0,23.0,12.0,1.0,0.0,1.0,2.0,5.0,8.0,1.0,3.0,25.0,73.0,13.0,27.0,15.0,4.0,0.0,0.0,2,1,1,2,2014
65,ALMERÍA,ELCHE,2-2,1-1,7.0,6.5,5.1,56,44,11.0,3.0,16.0,2.0,9.0,25.0,75.0,16.0,21.0,13.0,2.0,0.0,0.0,3.0,3.0,6.0,0.0,5.0,18.0,67.0,21.0,35.0,19.0,5.0,1.0,0.0,2,2,2,2,2014
66,SEVILLA FC,DEPORTIVO,4-1,2-1,6.9,7.5,4.8,58,42,4.0,10.0,16.0,2.0,9.0,17.0,90.0,9.0,14.0,11.0,2.0,0.0,0.0,1.0,5.0,7.0,1.0,2.0,13.0,81.0,14.0,21.0,10.0,2.0,0.0,0.0,4,1,1,4,2014
67,CELTA,VILLARREAL,1-3,1-2,6.5,5.0,7.5,66,34,5.0,5.0,16.0,6.0,11.0,24.0,81.0,19.0,8.0,15.0,5.0,1.0,0.0,7.0,4.0,11.0,0.0,4.0,15.0,66.0,17.0,36.0,22.0,4.0,0.0,0.0,1,3,3,1,2014
68,ESPANYOL,REAL SOCIEDAD,2-0,1-0,4.5,6.8,6.0,41,59,3.0,4.0,10.0,3.0,4.0,17.0,71.0,16.0,21.0,20.0,6.0,0.0,0.0,7.0,4.0,13.0,2.0,4.0,23.0,80.0,20.0,26.0,12.0,2.0,0.0,0.0,2,0,0,2,2014
69,REAL MADRID,ATHLETIC,5-0,2-0,7.2,8.8,4.5,60,40,5.0,14.0,19.0,0.0,8.0,24.0,87.0,11.0,11.0,9.0,1.0,0.0,0.0,0.0,5.0,6.0,1.0,7.0,14.0,76.0,10.0,17.0,10.0,2.0,0.0,0.0,5,0,0,5,2014
70,GRANADA,RAYO VALLECANO,0-1,0-0,3.3,5.2,7.9,40,60,4.0,1.0,9.0,4.0,3.0,28.0,67.0,22.0,22.0,17.0,4.0,0.0,0.0,4.0,2.0,8.0,2.0,6.0,32.0,77.0,17.0,15.0,13.0,5.0,0.0,0.0,0,1,1,0,2014
71,LEVANTE,REAL MADRID,0-5,0-2,6.5,3.7,9.8,39,61,5.0,1.0,11.0,5.0,6.0,12.0,83.0,10.0,14.0,13.0,4.0,0.0,0.0,6.0,11.0,21.0,4.0,3.0,10.0,91.0,10.0,23.0,8.0,0.0,0.0,0.0,0,5,5,0,2014
72,ATHLETIC,CELTA,1-1,1-0,3.8,6.9,6.2,46,54,7.0,4.0,13.0,2.0,9.0,30.0,68.0,37.0,18.0,13.0,3.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,19.0,69.0,29.0,22.0,16.0,3.0,0.0,0.0,1,1,1,1,2014
73,BARCELONA,EIBAR,3-0,0-0,6.0,8.7,5.2,75,25,9.0,12.0,27.0,6.0,12.0,23.0,91.0,10.0,9.0,9.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,3.0,17.0,69.0,21.0,35.0,13.0,2.0,0.0,0.0,3,0,0,3,2014
74,CÓRDOBA,MÁLAGA,1-2,0-2,5.2,5.6,7.4,62,38,2.0,2.0,8.0,4.0,6.0,27.0,82.0,17.0,22.0,16.0,2.0,0.0,0.0,2.0,4.0,8.0,2.0,13.0,19.0,69.0,11.0,17.0,21.0,2.0,0.0,0.0,1,2,2,1,2014
75,ATLETICO MADRID,ESPANYOL,2-0,1-0,4.6,8.1,4.9,59,41,6.0,9.0,20.0,5.0,12.0,23.0,82.0,24.0,16.0,19.0,0.0,0.0,0.0,5.0,1.0,7.0,1.0,1.0,15.0,75.0,7.0,39.0,19.0,0.0,0.0,0.0,2,0,0,2,2014
76,DEPORTIVO,VALENCIA,3-0,2-0,5.1,8.5,4.3,40,60,5.0,5.0,12.0,2.0,3.0,18.0,75.0,13.0,24.0,19.0,3.0,0.0,0.0,4.0,1.0,8.0,3.0,5.0,24.0,83.0,14.0,18.0,19.0,3.0,0.0,0.0,3,0,0,3,2014
77,ELCHE,SEVILLA FC,0-2,0-0,4.0,4.6,7.1,63,37,7.0,1.0,12.0,4.0,6.0,20.0,81.0,15.0,10.0,18.0,5.0,0.0,0.0,1.0,7.0,10.0,2.0,4.0,11.0,68.0,15.0,15.0,24.0,2.0,0.0,0.0,0,2,2,0,2014
78,VILLARREAL,ALMERÍA,2-0,1-0,4.5,7.0,5.8,49,51,4.0,8.0,17.0,5.0,6.0,20.0,76.0,16.0,24.0,20.0,5.0,0.0,0.0,5.0,3.0,10.0,2.0,4.0,32.0,73.0,5.0,13.0,16.0,2.0,0.0,0.0,2,0,0,2,2014
79,REAL SOCIEDAD,GETAFE,1-2,0-0,7.2,5.8,7.1,61,39,7.0,2.0,13.0,4.0,8.0,29.0,80.0,21.0,15.0,10.0,1.0,0.0,0.0,3.0,7.0,16.0,6.0,4.0,28.0,70.0,15.0,18.0,13.0,4.0,0.0,0.0,1,2,2,1,2014
80,CELTA,LEVANTE,3-0,1-0,5.1,8.1,4.8,70,30,7.0,4.0,13.0,2.0,7.0,12.0,87.0,24.0,17.0,14.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,0.0,16.0,64.0,14.0,14.0,16.0,3.0,0.0,0.0,3,0,0,3,2014
81,ALMERÍA,ATHLETIC,0-1,0-0,2.8,6.0,6.4,44,56,5.0,3.0,8.0,0.0,4.0,33.0,61.0,31.0,26.0,10.0,2.0,0.0,0.0,4.0,1.0,6.0,1.0,7.0,31.0,65.0,22.0,22.0,14.0,1.0,0.0,0.0,0,1,1,0,2014
82,REAL MADRID,BARCELONA,3-1,1-1,7.4,7.4,5.6,42,58,5.0,6.0,18.0,7.0,3.0,15.0,85.0,8.0,25.0,11.0,2.0,0.0,0.0,5.0,5.0,15.0,5.0,9.0,18.0,90.0,5.0,13.0,10.0,4.0,0.0,0.0,3,1,1,3,2014
83,VALENCIA,ELCHE,3-1,2-0,5.8,7.4,5.3,50,50,6.0,4.0,12.0,2.0,8.0,18.0,81.0,12.0,22.0,11.0,0.0,0.0,0.0,3.0,3.0,8.0,2.0,6.0,30.0,74.0,14.0,15.0,17.0,2.0,0.0,0.0,3,1,1,3,2014
